character,line
Chandler, Look  Ross  you gotta understand  between us we haven't had a relationship that has lasted longer than a Mento.   You  however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out  and that is why we don't do it!  I don't think that was my point!
Ross, You know what the scariest part is? What if there's only one woman for everybody  y'know? I mean what if you get one woman- and that's it? Unfortunately in my case  there was only one woman- for her...
Joey, What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something  Ross. There's lots of flavors out there. There's Rocky Road  and Cookie Dough  and Bing! Cherry Vanilla. You could get 'em with Jimmies  or nuts  or whipped cream! This is the best thing that ever happened to you! You got married  you were  like  what  eight? Welcome back to the world! Grab a spoon!
Ross, I honestly don't know if I'm hungry or horny.
Chandler, Stay out of my freezer! 
Monica, What?..... What  you wanna spell it out with noodles?
Monica, Oh  so there is gonna be a fifth date?
Monica, Yeah... yeah  I think there is. -What were you gonna say?
Monica,  Oh God  oh God  I am sorry... I am so sorry...
Monica, I know being spit on is probably not what you need right now. Um... how long?
Monica, Wow! I'm-I'm-I'm glad you smashed her watch!
Monica, ...Yeah. Yeah  I do.
Rachel, Oh...see... but Joanne loved Chachi! That's the difference!
Ross,  Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy  don't be a hero' mean anything to you?
Joey, Great story!  But  I uh  I gotta go  I got a date with Andrea--Angela--Andrea...  Oh man  
Chandler, Angela's the screamer  Andrea has cats.
Joey, Right.  Thanks.  It's June.  I'm outta here. 
Ross, Y'know  here's the thing. Even if I could get it together enough to- to ask a woman out ... who am I gonna ask? 
Rachel, Isn't this amazing? I mean  I have never made coffee before in my entire life.
Chandler, That is amazing.
Joey, Congratulations.
Rachel, Y'know  I figure if I can make coffee  there isn't anything I can't do.
Chandler, If can invade Poland  there isn't anything I can't do.
Joey, Listen  while you're on a roll  if you feel like you gotta make like a Western omelet or something...  Although actually I'm really not that hungry...
Monica,  Oh good  Lenny and Squigy are here.
Joey, Morning  Paul.
Rachel, Hello  Paul.
Chandler, Hi  Paul  is it?
Monica, Stop!
Monica, We'll talk later.
Joey, That wasn't a real date?! What the hell do you do on a real date?
Monica, Shut up  and put my table back.
Chandler, All right  kids  I gotta get to work. If I don't input those numbers ... it doesn't make much of a difference...
Rachel, So  like  you guys all have jobs?
Monica, Yeah  we all have jobs. See  that's how we buy stuff.
Joey, Yeah  I'm an actor.
Rachel, Wow! Would I have seen you in anything?
Joey, I doubt it. Mostly regional work.
Monica, Oh wait  wait  unless you happened to catch the Reruns' production of Pinocchio  at the little theater in the park.
Joey, Look  it was a job all right?
Chandler, 'Look  Gippetto  I'm a real live boy.'
Joey, I will not take this abuse. 
Chandler," You're right  I'm sorry.  ""Once I was a wooden boy  a little wooden boy..."""
Joey, You should both know  that he's a dead man.  Oh  Chandler? 
Monica, So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
Rachel, I can see that. You look like you slept with a hanger in your mouth.
Monica, I know  he's just so  so... Do you remember you and Tony DeMarco?
Rachel, Oh  yeah.
Monica, Well  it's like that. With feelings.
Rachel, Oh wow. Are you in trouble.
Monica, Big time!
Rachel, Want a wedding dress?   Hardly used.
Monica, I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up  go to work and not think about him all day. Or else I'm just gonna get up and go to work.
Rachel, Oh  look  wish me luck!
Monica, What for?
Rachel, I'm gonna go get one of those  job things.
Monica, Hey Frannie  welcome back! How was Florida?
Monica, How do you do that?
Monica, You know Paul?
Monica, You mean you know Paul like I know Paul?
Joey, Of course it was a line!
Monica, Why?! Why? Why  why would anybody do something like that?
Ross, I assume we're looking for an answer more sophisticated than 'to get you into bed'.
Monica, I hate men!  I hate men!
Phoebe, Oh no  don't hate  you don't want to put that out into the universe.
Monica, Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
Phoebe, All right  c'mere  gimme your feet. 
Monica, I just thought he was nice  y'know?
Joey,  I can't believe you didn't know it was a line!
Rachel, Guess what?
Ross, You got a job?
Rachel, Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
Chandler, And yet you're surprisingly upbeat.
Rachel, You would be too if you found John and David boots on sale  fifty percent off!
Chandler, Oh  how well you know me...
Rachel, They're my new 'I don't need a job  I don't need my parents  I've got great boots' boots!
Monica, How'd you pay for them?
Rachel, Uh  credit card.
Monica, And who pays for that?
Rachel, Um... my... father.
Rachel, Oh God  come on you guys  is this really necessary?  I mean  I can stop charging anytime I want.
Monica, C'mon  you can't live off your parents your whole life.
Rachel, I know that. That's why I was getting married.
Phoebe, Give her a break  it's hard being on your own for the first time.
Rachel, Thank you.
Phoebe, You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison  and I got here  and I didn't know anybody. And I ended up living with this albino guy who was  like  cleaning windshields outside port authority  and then he killed himself  and then I found aromatherapy. So believe me  I know exactly how you feel.
Ross, The word you're looking for is 'Anyway'...
Monica, All right  you ready?
Rachel," No.  No  no  I'm not ready!  How can I be ready?  ""Hey  Rach!  You ready to jump out the airplane without your parachute?""  Come on  I can't do this!"
Monica, You can  I know you can!
Rachel, I don't think so.
Ross, Come on  you made coffee!   You can do anything! 
Ross, C'mon  cut. Cut  cut  cut ...
Rachel, Y'know what?  I think we can just leave it at that.  It's kinda like a symbolic gesture...
Monica,  Rachel!  That was a library card!
Chandler,  Y'know  if you listen closely  you can hear a thousand retailers scream.
Monica, Welcome to the real world! It sucks. You're gonna love it!
Monica, Well  that's it  You gonna crash on the couch?
Ross, No. No  I gotta go home sometime.
Monica, You be okay?
Ross, Yeah.
Rachel, Hey Mon  look what I just found on the floor.  What?
Monica, That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight  everybody.
Ross, Mmm.  Oh  no-
Rachel, Sorry-
Ross, No no no  go-
Rachel, No  you have it  really  I don't want it-
Ross, Split it?
Rachel, Okay.
Ross, Okay.  You know you probably didn't know this  but back in high school  I had a  um  major crush on you.
Rachel, I knew.
Ross, You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
Rachel, I did.
Ross, Oh. Listen  do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?
Rachel, Yeah  maybe...
Ross, Okay... okay  maybe I will...
Rachel, Goodnight.
Ross, Goodnight.
Monica, See ya.... Waitwait  what's with you?
Ross, I just grabbed a spoon. 
Joey, I can't believe what I'm hearing here.
Phoebe,  I can't believe what I'm hearing here...
Monica, What? I-I said you had a-
Phoebe,  What I said you had...
Monica,  Would you stop?
Phoebe, Oh  was I doing it again?
Monica, I said that you had a nice butt  it's just not a great butt.
Joey, Oh  you wouldn't know a great butt if it came up and bit ya.
Ross, There's an image.
Rachel,  Would anybody like more coffee?
Chandler, Did you make it  or are you just serving it?
Rachel, I'm just serving it.
Chandler, Kids  new dream... I'm in Las Vegas. 
Rachel, Ugh.  Excuse me  could you give this to that guy over there?  Go ahead.  Thank you.  Sorry.  Okay  Las Vegas.
Chandler, Okay  so  I'm in Las Vegas... I'm Liza Minelli-
Monica, What you guys don't understand is  for us  kissing is as important as any part of it.
Joey, Yeah  right!.......Y'serious?
Phoebe, Oh  yeah!
Rachel, Everything you need to know is in that first kiss.
Monica, Absolutely.
Chandler, Yeah  I think for us  kissing is pretty much like an opening act  y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.
Ross, Yeah  and-and it's not that we don't like the comedian  it's that-that... that's not why we bought the ticket.
Chandler, The problem is  though  after the concert's over  no matter how great the show was  you girls are always looking for the comedian again  y'know? I mean  we're in the car  we're fighting traffic... basically just trying to stay awake.
Rachel, Yeah  well  word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home  listening to that album alone.
Joey, ....Are we still talking about sex?
Ross, No  it's good  it is good  it's just that- mm- doesn't she seem a little angry?
Ross, Does she.
Ross, Marsha  these are cave people. Okay? They have issues like 'Gee  that glacier's getting kinda close.' See?
Ross,  No. No.
Ross, Okay  okay  yes  it is.  How about I'll  uh  catch up with you in the Ice Age.
Ross,Hi.
Ross, You look great. I  uh... I hate that.
Ross, Ah  well  in here  anyone who... stands erect... So what's new? Still  uh...
Ross, Well... you never know. How's  um.. how's the family?
Ross, Why- why are you here  Carol?
Ross, Pregnant?!
Chandler, Oh  I think this is the episode of Three's Company where there's some kind of misunderstanding.
Phoebe,...Then I've already seen this one! 
Monica,  Are you through with that?
Joey, Yeah  sorry  the swallowing slowed me down.
Monica, Whose little ball of paper is this?!
Chandler, Oh  uh  that would be mine. See  I wrote a note to myself  and then I realised I didn't need it  so I balled it up and...  ...now I wish I was dead.
Phoebe, She's already fluffed that pillow... Monica  you know  you've already fluffed that-  -but  it's fine!
Monica, Look   I'm sorry  guys  I just don't wanna give them any more ammunition than they already have.
Chandler, Yes  and we all know how cruel a parent can be about the flatness of a child's pillow.
Phoebe, Monica- Hi! Um  Monica  you're scaring me. I mean  you're like  you're like all chaotic and twirly. And not-not in a good way.
Joey, Yeah  calm down. You don't see Ross getting all chaotic and twirly every time they come.
Monica, That's because as far as my parents are concerned  Ross can do no wrong. Y'see  he's the Prince. Apparently they had some big ceremony before I was born.
Chandler,  Ew  ew  ew  ew ew ew ew ew!
Monica, What?
Chandler, Ugly Naked Guy got a Thighmaster!
Rachel, Has anybody seen my engagement ring?
Phoebe, Yeah  it's beautiful.
Rachel, Oh God  oh God  oh God oh God oh God oh God.... 
Phoebe, No  look  don't touch that!
Rachel, Oh  like I wasn't dreading tomorrow enough  having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring  without the ring  which makes it so much harder...
Monica, Easy Rach  we'll find it.  Won't we!
Joey, Alright  when'd'ya have it on last?
Phoebe, Doy! Probably right before she lost it!
Chandler, You don't get a lot of 'doy' these days...
Rachel, I know I had it this morning  and I know I had it when I was in the kitchen with...
Chandler, ...Dinah?
Rachel,  Ohhhhh  don't be mad...
Monica, You didn't.
Rachel, Oh  I am sorry...
Monica, I gave you one job! 
Rachel, Oh  but look how straight those noodles are!
Chandler, Now  Monica  you know that's not how you look for an engagement ring in a lasagne...
Monica,  I just... can't do it.
Chandler, Boys? We're going in.
Ross, .....Hi.
Monica, Wow. That is not a happy hi.
Ross, Carol's pregnant.
Phoebe,  Ooh! I found it!
Monica, W-w-wh-... wha-... w-w-w-...
Ross, Yeah. Do that for another two hours  you might be where I am right about now. 
Chandler, Kinda puts that whole pillow thing in perspective  huh  Mon?
Rachel, Well now  how-how do you fit into this whole thing?
Ross, Well  Carol says she and Susan want me to be involved  but if I'm not comfortable with it  I don't have to be involved.. basically it's entirely up to me.
Phoebe, She is so great! I miss her.
Monica, What does she mean by 'involved'?
Chandler, I mean presumably  the biggest part of your job is done.
Ross, Anyway  they want me to go down to this- sonogram thing with them tomorrow.
Rachel, So what are you gonna do?
Ross, I have no idea. No matter what I do  though  I'm still gonna be a father.
Joey, .....Well  this is still ruined  right?
Monica, Curry.
Ross, I- I think they're great! I  I really do.
Ross, Aw  Mom...
Monica, I'm sorry  why is this girl going to call me?
Monica, No Mom  I don't have a restaurant  I work in a restaurant.
Monica, Ross  could you come and help me with the spaghetti  please?
Ross, Yeah. 
Monica, I know this is going to sound unbelievably selfish  but  were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.
Monica, What's that supposed to mean?
Monica, No it's not.
Monica,  So  Ross  what's going on with you? Any stories?  No news  no little anecdotes to share with the folks?
Ross,  Okay! Okay.  Look  I  uh- I realise you guys have been wondering what exactly happened between Carol and me  and  so  well  here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child  and she and Susan are going to raise the baby.
Joey, Your folks are really that bad  huh?
Ross, Well  y'know  these people are pros. They know what they're doing  they take their time  they get the job done.
Monica, Boy  I know they say you can't change your parents ... boy  if you could-  -I'd want yours.
Ross, Must pee. 
Phoebe, Y'know  it's even worse when you're twins.
Rachel, You're twins?
Phoebe, Yeah. We don't speak. She's like this high-powered  driven career type.
Chandler, What does she do?
Phoebe, She's a waitress.
Rachel, All right  you guys  I kinda gotta clean up now. 
Monica, Chandler  you're an only child  right? You don't have any of this.
Chandler, Well  no  although I did have an imaginary friend  who... my parents actually preferred.
Rachel, The lights  please..
Ross, ...How long was I in there?
Rachel, I'm just cleaning up.
Ross, D'ya.. uh.. d'ya need any help?
Rachel, Uh.. okay  sure! Thanks! 
Ross, Anyway.. um..  So  you- uh- you nervous about Barry tomorrow?
Rachel, Oh.. a little..
Ross, Mm-hmm..
Rachel, A lot.
Ross, Mm.
Rachel, So  got any advice? Y'know  as someone who's recently been- dumped?
Ross, Well  you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this  this broken shell of a man  y'know  so you should try not to look too terrific  I know it'll be hard. Or  y'know  uh  hey!  I'll go down there  and I'll give Barry back his ring  and you can go with Carol and Susan to the OB/GYN...
Rachel, Oh  you've got Carol tomorrow.. When did it get so complicated?
Ross, Got me.
Rachel, Remember when we were in high school together?
Ross, Yeah.
Rachel, I mean  didn't you think you were just gonna meet somone  fall in love- and that'd be it?  ..Ross?
Ross, Yes  yes!
Rachel, Oh! Man  I never thought I'd be here.. 
Ross, Me either... 
Ross,  Sorry I'm late  I was stuck at work. There was this big dinosaur.. thing.. anyway.
Ross, How could I forget?
Ross,  Hello  Susan.  Good shake. Good shake. So  uh  we're just waiting for...?
Ross, ..Dr. Oberman. Okay. And is he-
Ross, -she  of course  she- uh- familiar with our.. special situation?
Ross, Okay  that's great.  No  I'm- Oh.
Ross,  Quack  quack..
Rachel, Barry?
Rachel,  Are you sure?
Rachel, I'm- uh- I'm okay... You look great!
Rachel, I dumped him.
Ross, So  um- so how's this  uh  how's this gonna work? Y'know  with us? Y'know  when  like  important decisions have to be made?
Ross, Well  uh  uh  I don't know  okay  okay  how about with the  uh  with the baby's name?
Ross, Marlon?!
Ross, ...As in Mouse?
Ross, Still  you- you say Minnie  you hear Mouse. Um  how about  um.. how about Julia?
Ross, 'S'funny  um  uh  we agreed we'd spend the rest of our lives together. Things change  roll with the punches. I believe Julia's on the table..?
Rachel, Oh  not much. I-I got a job.
Rachel, Why are- why are you so tanned?
Rachel, Oh no. You went on our honeymoon alone?
Rachel, Mindy?! My maid of honour  Mindy?!
Rachel, Oh! Well  um..  You've got plugs!
Rachel, And you've got lenses! But you hate sticking your finger in your eye!
Rachel, Okay..
Rachel, Wow.
Rachel, What?
Rachel, Anyway  um   I guess this belongs to you. And thank you for giving it to me.
Ross, Helen Geller? I don't think so.
Ross, Thank you!
Ross, What  it's gonna be Helen Willick?
Ross, Well  wait a minute  wha- why is she in the title?
Ross, Oh  's'funny  really? Um  I don't remember you making any sperm.
Ross, No no no  she gets a credit  hey  I'm in there too.
Ross, Of course not  I'm... suggesting Geller-Willick-Bunch.
Ross, My way?! You-you think this is my way? Believe me  of all the ways I ever imagined this moment in my life being  this is not my way- y'know what? Uh  um  this is too hard. I'm not  I can't do-
Ross, You- uh- y'know what  I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.
Ross, Oh my God.
Ross, Well? Isn't that amazing?
Joey, What are we supposed to be seeing here?
Chandler, I dunno  but.. I think it's about to attack the Enterprise.
Phoebe, You know  if you tilt your head to the left  and relax your eyes  it kinda looks like an old potato.
Ross, Then don't do that  alright?
Phoebe, Okay!
Ross, Monica. Whaddya think?
Monica,  Mm-hmm.
Ross, Wh- are you welling up?
Monica, No.
Ross, You are  you're welling up.
Monica, Am not!
Ross, You're gonna be an aunt.
Monica,  Oh shut up!
Rachel,  Hi  Mindy. Hi  it-it's Rachel. Yeah  I'm fine. I-I saw Barry today. Oh  yeah  yeah he-he told me. No  no  it's okay. I hope you two are very happy  I really do. Oh  oh  and Mind  y'know  if-if everything works out  and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose.   Okay  I know it was a cheap shot  but I feel so much better now.
Phoebe,  Hi guys!
Ross, Hey. Oh  oh  how'd it go?
Phoebe, Um  not so good. He walked me to the subway and said 'We should do this again!'
Rachel, What? He said 'we should do it again'  that's good  right?
Monica, Uh  no. Loosely translated 'We should do this again' means 'You will never see me naked'.
Rachel, Since when?
Joey, Since always. It's like dating language. Y'know  like 'It's not you' means 'It is you'.
Chandler, Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
Phoebe, Or  or  y'know  um  'I think we should see other people' means 'Ha  ha  I already am'.
Rachel, And everybody knows this?
Joey, Yeah. Cushions the blow.
Chandler, Yeah  it's like when you're a kid  and your parents put your dog to sleep  and they tell you it went off to live on some farm.
Ross, That's funny  that  no  because  uh  our parents actually did  uh  send our dog off to live on a farm.
Monica, Uh  Ross.
Ross, What? Wh- hello? The Millners' farm in Connecticut? The Millners  they had this unbelievable farm  they had horses  and  and rabbits that he could chase and it was- it w- .....Oh my God  Chi Chi!
Chandler," ""So how does it feel knowing you're about to die?"""
Joey," ""Warden  in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die."""
Chandler, Hey  that was really good!
Joey, Thanks! Let's keep going.
Chandler," Okay. ""So. Whaddya want from me  Damone  huh?"""
Joey," ""I just wanna go back to my cell. 'Cause in my cell  I can smoke."""
Chandler," ""Smoke away."""
Chandler, I think this is probably why Damone smokes in his cell alone.
Joey, What?
Chandler, Relax your hand!
Chandler, Not so much!
Joey, Whoah!
Chandler, Hey!
Joey, Hey!
Chandler, Alright  now try taking a puff.
Chandler, Alright.. okay. No. Give it to me.
Joey, No no no  I am not giving you a cigarette.
Chandler, It's fine  it's fine. Look  do you wanna get this part  or not? Here.
Chandler, Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it  you feel right. You feel complete.
Joey, Y'miss it?
Chandler, Nah  not so much. Alright  now we smoke.  Oh.. my.. God. 
Monica, No  no  no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger.
Joey, That's ridiculous!
Ross, Can I use.. either thumb?
Rachel,  Alright  don't tell me  don't tell me!  Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!
Rachel,  Good for me!
Joey, Y'okay  Phoebe?
Phoebe, Yeah- no- I'm just- it's  I haven't worked- It's my bank.
Monica, What did they do to you?
Phoebe, It's nothing  it's just- Okay. I'm going through my mail  and I open up their monthly  you know  STATEMENT-
Ross, Easy.
Phoebe, - and there's five hundred extra dollars in my account.
Chandler, Oh  Satan's minions at work again...
Phoebe, Yes  'cause now I have to go down there  and deal with them.
Joey, What are you talking about? Keep it!
Phoebe, It's not mine  I didn't earn it  if I kept it  it would be like stealing.
Rachel, Yeah  but if you spent it  it would be like shopping!
Phoebe, Okay. Okay  let's say I bought a really great pair of shoes. Do you know what I'd hear  with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy  okay  and  and skipping- 'Not-not-mine  not-not-mine  not-not-mine  not-not-mine'...
Monica, We're with you. We got it.
Phoebe, Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.
Rachel, Chandler  what are you doing?
Monica,  Hey. Whaddya doing?
Ross, What is this?!
Chandler, I'm smoking. I'm smoking  I'm smoking.
Phoebe, Oh  I can't believe you! You've been so good  for three years!
Chandler, And this- is my reward!
Ross, Hold on a second  alright? Just think about what you went through the last time you quit.
Chandler, Okay  so this time I won't quit!
Chandler, All right! I'm putting it out  I'm putting it out. 
Phoebe, Oh  no! I- I can't drink this now!
Monica, Alright. I'm gonna go change  I've got a date.
Rachel, This Alan again? How's it goin'?
Monica, 'S'going pretty good  y'know? It's nice  and  we're having fun.
Joey, So when do we get to meet the guy?
Monica, Let's see  today's Monday... Never.
Monica, No. Not after what happened with Steve.
Chandler, What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
Monica, Look  I don't even know how I feel about him yet. Just give me a chance to figure that out.
Rachel, Well  then can we meet him?
Monica, Nope. Schhorry.
