Unnamed: 0,advice_to_mgmt,company_id,cons,cons_vader,date,employee_status,employee_title,helpful,location,post_index,pros,pros_conflict,pros_fun,pros_identity,pros_vader,rating_balance,rating_career,rating_comp,rating_culture,rating_mgmt,rating_overall,review_title,review_title_vader,whole_review_text,years_at_company,vader_pros,vader_cons,vader_review_title,flair_pros,flair_cons,stress_post,company_name,post_id,state,SEC filings,GICSSector,GICSSubIndustry,Headquarters Location,Date first added,CIK,Founded,Region,Division
351701,,7631_microsoft,no real cons to be honest. potentially products could be updated more often leading to better security,,Fri Oct 07 2016 04:57:27 GMT+0100 (British Summer Time),Former Employee , Product Development,,"Isle of Wight, VA",7631.0,Good pay. Professional team. Highly rated. I particularly like the way that the company works especially in regards to product development,,,,,5.0,5.0,5.0,5.0,5.0,5.0,Products Review,,Products Review. Good pay. Professional team. Highly rated. I particularly like the way that the company works especially in regards to product development. no real cons to be honest. potentially products could be updated more often leading to better security,,0.6478,0.7506,0.0,0.997,-0.9995,0.0,microsoft,7631_microsoft,VA,reports,Information Technology,Systems Software,"Redmond, Washington",01/06/1994,789019.0,1975,South,South Atlantic
363287,,1222_cognizant,Very slow career growth and no proper techniques to evaluate the resource for year end appraisals.,,Mon Sep 25 2017 20:42:28 GMT+0100 (British Summer Time),Current Employee , Senior Associate,,"Hartford, CT",1222.0,Diverse technologies and scope for freshers,,,,,3.0,1.0,1.0,3.0,1.0,3.0,Good place for beginners,,Good place for beginners. Diverse technologies and scope for freshers. Very slow career growth and no proper techniques to evaluate the resource for year end appraisals.,,0.0,0.1689,0.4404,0.9992,-0.9999,0.0,cognizant,1222_cognizant,CT,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290.0,,Northeast,New England
246765,,61_amphenol,Excessive focus on monthly performance over supporting customers. Lack of product focus. Too many worthless projects chasing small revenue. No bonus or profit sharing for regular employees,,Wed Apr 04 2018 18:52:15 GMT+0100 (British Summer Time),"Design Engineer in Hummelstown, PA",,,"Hummelstown, PA",61.0,Flexible hours are a plus. Engineering talent Relaxed work environment Located in low cost area. Company Not executive top heavy,,,,,3.0,2.0,2.0,2.0,3.0,2.0,Succeeding in Chaos,,Succeeding in Chaos. Flexible hours are a plus. Engineering talent Relaxed work environment Located in low cost area. Company Not executive top heavy. Excessive focus on monthly performance over supporting customers. Lack of product focus. Too many worthless projects chasing small revenue. No bonus or profit sharing for regular employees,,0.6379,-0.5798,-0.128,0.9499,-0.9999,0.0,amphenol,61_amphenol,PA,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",30/09/2008,820313.0,1932,Northeast,Middle Atlantic
99792,,7675_bankofamerica,Glass ceilings; hard to transition to other business lines; opportunities biased.,,Mon Dec 05 2016 21:10:07 GMT+0000 (Greenwich Mean Time),"Anonymous in Los Angeles, CA",,,"Los Angeles, CA",7675.0,"Great health benefits, good employee discount programs, lots of different departments",,,,,3.0,3.0,5.0,4.0,2.0,3.0,Think twice before diving...not for the faint!,,"Think twice before diving...not for the faint!. Great health benefits, good employee discount programs, lots of different departments. Glass ceilings; hard to transition to other business lines; opportunities biased.",,0.8625,0.0258,0.0,0.9885,-0.998,0.0,bankofamerica,7675_bankofamerica,CA,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858.0,,West,Pacific
221394,,671_broadridge,Too many different groups and locations.,,Tue Mar 01 2016 13:42:02 GMT+0000 (Greenwich Mean Time),Current Employee ,,,"New York, NY",671.0,Lots of growth. Good corporate strategy. Good benefits. Great people that work hard but have a ton of fun.,,,,,4.0,4.0,4.0,5.0,5.0,5.0,Excellent,,Excellent. Lots of growth. Good corporate strategy. Good benefits. Great people that work hard but have a ton of fun.. Too many different groups and locations.,,0.9062,0.0,0.5719,0.9704,-0.9998,0.0,broadridge,671_broadridge,NY,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",18/06/2018,1383312.0,1962,Northeast,Middle Atlantic
166113,,482_centurylink,no orientation for employees. Director just gives work and but gives no guidance. Worst move you can make in your career,,Fri Jul 12 2019 13:38:25 GMT+0100 (British Summer Time),Former Employee , Senior Tax Analyst,,"Broomfield, CO",482.0,cannot think of any pros,,,,,1.0,1.0,1.0,1.0,1.0,1.0,Worst company you can work for,,Worst company you can work for. cannot think of any pros. no orientation for employees. Director just gives work and but gives no guidance. Worst move you can make in your career,,0.0,0.2596,-0.6249,-0.9403,-0.9999,0.0,centurylink,482_centurylink,CO,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/03/1999,18926.0,,West,Mountain
160784,,2991_ups,"Really hard work - expectations beyond what is often possible. Work fast. Work hard. Work accurately. The management culture can be very negative, even abusive and condescending. But it is not always this way.",,Sun May 21 2017 12:57:49 GMT+0100 (British Summer Time),Current Employee , Part Time Package Handler,,"Commerce City, CO",2991.0,"Really good benefits. The health insurance (after one year) cannot be beat anywhere. If you stay five years, you are vested in a retirement that pays $60 per month for each year you've been there (starts at retirement age). Full time retirement is $140 per month per year there. Great college assist programs too.",,,,,2.0,2.0,3.0,1.0,1.0,4.0,Hard Work with Great Benefits,,"Hard Work with Great Benefits. Really good benefits. The health insurance (after one year) cannot be beat anywhere. If you stay five years, you are vested in a retirement that pays $60 per month for each year you've been there (starts at retirement age). Full time retirement is $140 per month per year there. Great college assist programs too.. Really hard work - expectations beyond what is often possible. Work fast. Work hard. Work accurately. The management culture can be very negative, even abusive and condescending. But it is not always this way.",,0.895,-0.698,0.743,0.994,0.8740000000000001,0.0,ups,2991_ups,CO,,,,,,,,West,Mountain
349290,,2872_dish,"No life/work balance, they create more and more expectations and goals without providing increased compensation. If they need you in a different department, you're going whether you like it or not and there is NO way you can go back to the position you were previously it. You've got 5 different managers all telling you 5 different things at all times. You are just a number to the company, most of higher management won't even know you name. DO NOT step foot in this hell hole, avoid at all costs!",,Tue Aug 28 2012 11:38:49 GMT+0100 (British Summer Time),Former Employee , CSR4 ,,"Christiansburg, VA",2872.0,I liked the people I worked with.... that's all.,,,,,1.0,1.0,1.0,1.0,1.0,1.0,Worst. Place. Ever!,,"Worst. Place. Ever!. I liked the people I worked with.... that's all.. No life/work balance, they create more and more expectations and goals without providing increased compensation. If they need you in a different department, you're going whether you like it or not and there is NO way you can go back to the position you were previously it. You've got 5 different managers all telling you 5 different things at all times. You are just a number to the company, most of higher management won't even know you name. DO NOT step foot in this hell hole, avoid at all costs!",,0.4215,-0.8761,-0.6588,0.9317,-0.9998,0.0,dish,2872_dish,VA,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",13/03/2017,1001082.0,,South,South Atlantic
163966,,1663_hpe,"HPE does not compensate as well as they could for a company of their size. They are not competitive enough for interns and new hires. As an intern, I never touched the project I was promised to work and instead got stuck doing test work on a completely different product.",,Sun Jul 10 2016 10:58:26 GMT+0100 (British Summer Time),Former Intern , Software Engineer,,"Fort Collins, CO",1663.0,My fellow employees were the most friendly people I have ever worked with. It felt like I was a part of a family.,,,,,5.0,3.0,1.0,3.0,4.0,3.0,I was hoping for more,,"I was hoping for more. My fellow employees were the most friendly people I have ever worked with. It felt like I was a part of a family.. HPE does not compensate as well as they could for a company of their size. They are not competitive enough for interns and new hires. As an intern, I never touched the project I was promised to work and instead got stuck doing test work on a completely different product.",,0.7178,-0.21,0.4215,0.9964,-1.0,0.0,hpe,1663_hpe,CO,,,,,,,,West,Mountain
63900,,1476_broadcom,Sometimes get stuck with doing repetitive tasks No real perks,,Sat Jan 10 2015 11:43:37 GMT+0000 (Greenwich Mean Time),"Program Manager in Sunnyvale, CA",,,"Sunnyvale, CA",1476.0,Great management Decent Pay Flexible Hours A lot of learning opportunity,,,,,4.0,5.0,4.0,4.0,5.0,5.0,Intern,,Intern. Great management Decent Pay Flexible Hours A lot of learning opportunity. Sometimes get stuck with doing repetitive tasks No real perks,,0.8126,-0.6369,0.0,0.9821,-0.9985,0.0,broadcom,1476_broadcom,CA,reports,Information Technology,Semiconductors,"San Jose, California",08/05/2014,1730168.0,1961,West,Pacific
84620,,156_generalmotors,Some months we don’t have any work,,Fri Dec 20 2019 15:42:26 GMT+0000 (Greenwich Mean Time),Current Employee , Processing,,"Los Angeles, CA",156.0,Get to drive a different car everyday,,,,,5.0,5.0,5.0,5.0,5.0,5.0,Getting new cars allocated for buyers,,Getting new cars allocated for buyers. Get to drive a different car everyday. Some months we don’t have any work,,0.0,0.0,0.0,0.9977,-0.9999,0.0,generalmotors,156_generalmotors,CA,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",06/06/2013,1467858.0,,West,Pacific
358163,,2209_deloitte,Hyper utilization focus. Need to like 50+ hours/week. Success is based on your PPMD network.,,Tue Dec 13 2016 06:18:42 GMT+0000 (Greenwich Mean Time),Current Employee , Senior Manager,,"McLean, VA",2209.0,Top consulting firm. Great benefits & perks. Fortune 100 clients. Smart co-workers.,,,,,3.0,4.0,5.0,4.0,3.0,4.0,Deloitte Career Advice - Align with strong PPMDs,,Deloitte Career Advice - Align with strong PPMDs. Top consulting firm. Great benefits & perks. Fortune 100 clients. Smart co-workers.. Hyper utilization focus. Need to like 50+ hours/week. Success is based on your PPMD network.,,0.8807,0.7351,0.5106,0.9971,-0.8073,0.0,deloitte,2209_deloitte,VA,,,,,,,,South,South Atlantic
367787,,1551_mastercard,"Never got a chance to be proactive. The project was based on 2 third-party software applications that were over-customized to perform tasks it was never originally intended to perform. The original installation was held together with Unix shell scripts and manual efforts assigned to the off-shore development team. Further enhancements continue to strain these delicately-balanced fixes. Immediate project management only got involved during a system incident (which occurred nearly monthly); otherwise, they were nowhere to be seen or heard from. Promotions did not appear to be merit-based, but whether you were a part of the good old boy network. Newer cubicles are now smaller: in my area, an aisle of 15 cubicles were resized to 19 cubicles.",,Wed Apr 30 2014 18:47:00 GMT+0100 (British Summer Time),Former Employee , Senior Software Engineer,,"O'Fallon, MO",1551.0,"The work was challenging; I was never bored. The on-site facilities (fitness center, cafeteria, company store) are new and well maintained. The 401(k) plan is 100% matched up to 6% of the employee salary: that's unheard of! The recent annual bonus and profit sharing amounts have been generous.",,,,,3.0,3.0,4.0,4.0,5.0,3.0,Challenging Work; Crazy Environment; No Management Support,,"Challenging Work; Crazy Environment; No Management Support. The work was challenging; I was never bored. The on-site facilities (fitness center, cafeteria, company store) are new and well maintained. The 401(k) plan is 100% matched up to 6% of the employee salary: that's unheard of! The recent annual bonus and profit sharing amounts have been generous.. Never got a chance to be proactive. The project was based on 2 third-party software applications that were over-customized to perform tasks it was never originally intended to perform. The original installation was held together with Unix shell scripts and manual efforts assigned to the off-shore development team. Further enhancements continue to strain these delicately-balanced fixes. Immediate project management only got involved during a system incident (which occurred nearly monthly); otherwise, they were nowhere to be seen or heard from. Promotions did not appear to be merit-based, but whether you were a part of the good old boy network. Newer cubicles are now smaller: in my area, an aisle of 15 cubicles were resized to 19 cubicles.",,0.9546,0.7123,-0.6437,0.9994,-0.9999,0.0,mastercard,1551_mastercard,MO,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",18/07/2008,1141391.0,,Midwest,West North Central
261804,,16264_jpmorgan,"Outsourcing, outsourcing, outsourcing. Everything in Fund Accounting is sloppily being transitioned to India. Turnover - large numbers of employees fleeing at once. Career development is extremely slow and top performers are not rewarded for their work. Low pay.",,Sat Jun 01 2013 06:20:06 GMT+0100 (British Summer Time),Current Employee , Senior Fund Accountant,,"Boston, MA",16264.0,"Nice people Brand name firm Large company - lots of opportunities, especially in NY Downtown location (at One Beacon office)",,,,,2.0,2.0,2.0,1.0,1.0,2.0,"Run, Don't Walk",,"Run, Don't Walk. Nice people Brand name firm Large company - lots of opportunities, especially in NY Downtown location (at One Beacon office). Outsourcing, outsourcing, outsourcing. Everything in Fund Accounting is sloppily being transitioned to India. Turnover - large numbers of employees fleeing at once. Career development is extremely slow and top performers are not rewarded for their work. Low pay.",,0.6597,-0.4704,0.0,0.9986,-0.9999,0.0,jpmorgan,16264_jpmorgan,MA,reports,Financials,Diversified Banks,"New York, New York",30/06/1975,19617.0,,Northeast,New England
414984,,135_jmsmucker,"Corporate office location is not ideal unless you're settled down with a family. In general, it's not an easy place to have tough and honest conversations which can be frustrating.",,Thu Nov 30 2017 17:31:14 GMT+0000 (Greenwich Mean Time),Current Employee , Lead Business Analyst,,"Orrville, OH",135.0,"Great culture, benefits and brands. Easy to get behind Company mission/purpose. Great facilities. Lots of opportunity.",,,,,4.0,3.0,4.0,5.0,4.0,4.0,Great Place to Start Your Career,,"Great Place to Start Your Career. Great culture, benefits and brands. Easy to get behind Company mission/purpose. Great facilities. Lots of opportunity.. Corporate office location is not ideal unless you're settled down with a family. In general, it's not an easy place to have tough and honest conversations which can be frustrating.",,0.9477,-0.6465,0.6249,0.9952,-0.9977,0.0,jmsmucker,135_jmsmucker,OH,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",06/11/2008,91419.0,,Midwest,East North Central
258386,,99_newellbrands,Another round of purging this week and of course it was mostly people with 10 years or more with the company. No regard for employees it’s all about saving a buck this company is the poster child for corporate greed. Just as many people that they lay off are leaving on their own while dumping their workload on whoever is left. They call it a transformation plan I call it destroying what was a good company.,,Sat Mar 30 2019 04:33:55 GMT+0000 (Greenwich Mean Time),Current Employee , Professional,,"Deerfield, MA",99.0,Can’t think of a single positive thing this company has to offer.,,,,,1.0,1.0,1.0,1.0,1.0,5.0,The Purging Continues,,The Purging Continues. Can’t think of a single positive thing this company has to offer.. Another round of purging this week and of course it was mostly people with 10 years or more with the company. No regard for employees it’s all about saving a buck this company is the poster child for corporate greed. Just as many people that they lay off are leaving on their own while dumping their workload on whoever is left. They call it a transformation plan I call it destroying what was a good company.,,0.5574,-0.7845,0.0,-0.8254,-1.0,0.0,newellbrands,99_newellbrands,MA,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",30/04/1989,814453.0,,Northeast,New England
254497,,3369_unitedhealthgroup,"Non one cares what you do. Very dumb Managers. Cutting coupons all day !Too much discrimination in terms of promotion ,bonus and review. If you complain about management, you are done! Vital sign is forced to be taken and management wants only good thing or you will be put on spot during vital sign review",,Wed May 27 2015 12:04:02 GMT+0100 (British Summer Time),Current Employee ,,,"Wakefield, MA",3369.0,you will get exposures to medical related software!,,,,,2.0,1.0,2.0,1.0,1.0,2.0,Nothing special,,"Nothing special. you will get exposures to medical related software!. Non one cares what you do. Very dumb Managers. Cutting coupons all day !Too much discrimination in terms of promotion ,bonus and review. If you complain about management, you are done! Vital sign is forced to be taken and management wants only good thing or you will be put on spot during vital sign review",,0.0,0.5465,-0.3089,-0.8334,-1.0,0.0,unitedhealthgroup,3369_unitedhealthgroup,MA,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",01/07/1994,731766.0,,Northeast,New England
187866,,1585_allstate,- Senior leadership is not very transparent - Promotions and development are difficult to come by depending on what department you are in and how political the area is..esp because of bias toward recent grads - Salary is not as competitive as it could be,,Wed Oct 07 2015 14:20:38 GMT+0100 (British Summer Time),Current Employee , LDP,,"Northbrook, IL",1585.0,"Generous PTO, laid back culture, professional development sessions and events, philanthropy and service opportunities, people are friendly, networking is encouraged",,,,,5.0,3.0,4.0,4.0,3.0,3.0,LDP Review,,"LDP Review. Generous PTO, laid back culture, professional development sessions and events, philanthropy and service opportunities, people are friendly, networking is encouraged. - Senior leadership is not very transparent - Promotions and development are difficult to come by depending on what department you are in and how political the area is..esp because of bias toward recent grads - Salary is not as competitive as it could be",,0.8909999999999999,-0.5296,0.0,0.9874,-0.9998,0.0,allstate,1585_allstate,IL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051.0,1931,Midwest,East North Central
325503,,2602_cisco,"The department was only temp staff and the Cisco management was amazingly poorly organized and unaware of the actual work. They treated employees like children, down to monitoring the moment they came into and left work, and scheduling their lunch breaks. The senior manager was more concerned about the level the window blinds were kept at than the quality of work.",,Mon Jul 25 2016 14:34:43 GMT+0100 (British Summer Time),"Productivity Office Analyst in Morrisville, NC",,,"Morrisville, NC",2602.0,"Good company name for references. I hear it's a great place to work, depending on the department. Productivity office was where I worked.",,,,,,,,,,2.0,Contract worker,,"Contract worker. Good company name for references. I hear it's a great place to work, depending on the department. Productivity office was where I worked.. The department was only temp staff and the Cisco management was amazingly poorly organized and unaware of the actual work. They treated employees like children, down to monitoring the moment they came into and left work, and scheduling their lunch breaks. The senior manager was more concerned about the level the window blinds were kept at than the quality of work.",,0.7906,0.1779,0.0,0.9975,-1.0,0.0,cisco,2602_cisco,NC,reports,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,858877.0,,South,South Atlantic
181152,,525_infosys,Poor company culture. Too much politics involved. Do not treat people well. Do not empower employees to get the job done . Unrealistic job expectations without support.,,Mon Feb 19 2018 18:35:20 GMT+0000 (Greenwich Mean Time),Former Employee , Principal Management Consultant,,"Chicago, IL",525.0,Good place to learn . There are some very good projects and good clients.,,,,,2.0,4.0,2.0,3.0,3.0,3.0,Principal Consultant,,Principal Consultant. Good place to learn . There are some very good projects and good clients.. Poor company culture. Too much politics involved. Do not treat people well. Do not empower employees to get the job done . Unrealistic job expectations without support.,,0.8399,-0.8141,0.0,0.9919,-1.0,0.0,infosys,525_infosys,IL,,,,,,,,Midwest,East North Central
179927,,545_wallgreens,"Bureaucratic challenges mean slow to improve, IT improvements are hard to come by",,Mon Oct 14 2019 12:39:14 GMT+0100 (British Summer Time),Former Employee , Director Process Improvement,,"Deerfield, IL",545.0,"Great Benefits, people to work with, Work from Home",,,,,4.0,5.0,4.0,5.0,5.0,4.0,Great company to work for if you don't mind large-company challenges,,"Great company to work for if you don't mind large-company challenges. Great Benefits, people to work with, Work from Home. Bureaucratic challenges mean slow to improve, IT improvements are hard to come by",,0.7717,0.6249,0.5964,0.9926,-0.9962,0.0,wallgreens,545_wallgreens,IL,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/1979,1618921.0,2014,Midwest,East North Central
302024,,1623_marriott,Some of the workers at the front desk were often rude or abrasive towards people with question and no discipline would happen to them,,Mon Mar 28 2016 12:54:58 GMT+0100 (British Summer Time),Former Employee , Banquet Cook,,"Moorhead, MN",1623.0,Great facility with a clean and well maintained appearance. Friendly staff with accommodating time off requests. Fun and energetic people to work with. Great room discounts for employees and their friends/families at all Marriott brand hotels.,,,,,4.0,4.0,3.0,3.0,3.0,4.0,Great hotels. Positive experience.,,Great hotels. Positive experience.. Great facility with a clean and well maintained appearance. Friendly staff with accommodating time off requests. Fun and energetic people to work with. Great room discounts for employees and their friends/families at all Marriott brand hotels.. Some of the workers at the front desk were often rude or abrasive towards people with question and no discipline would happen to them,,0.9698,-0.6369,0.8271,0.9849,-0.9968,0.0,marriott,1623_marriott,MN,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286.0,1927,Midwest,West North Central
353684,,6111_cvshealth,my flexible hours is good and part time is better 20 or if the offers is full time few months later. because i want to make sure to learn working and life balance,,Mon Jun 08 2015 15:24:13 GMT+0100 (British Summer Time),"Pharmacy Filing Carts in Roanoke, VA",,,"Roanoke, VA",6111.0,"I am very work / life balance, it will be great .",,,,,5.0,4.0,4.0,3.0,,5.0,cvs pharmacy,,"cvs pharmacy. I am very work / life balance, it will be great .. my flexible hours is good and part time is better 20 or if the offers is full time few months later. because i want to make sure to learn working and life balance",,0.6249,0.8519,0.0,0.9968,0.8741,0.0,cvshealth,6111_cvshealth,VA,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803.0,1996,South,South Atlantic
